ISO,variant,category,hex,category_lower,category_upper,pollutant,units,averaging_period,concentration_lower,concentration_upper
MK,,Good,#50f0e6,1,,PM2.5,ug/m3,1,0,5
MK,,Good,#50f0e6,1,,PM10,ug/m3,1,0,15
MK,,Good,#50f0e6,1,,O3,ug/m3,1,0,60
MK,,Good,#50f0e6,1,,NO2,ug/m3,1,0,10
MK,,Good,#50f0e6,1,,SO2,ug/m3,1,0,20
MK,,Fair,#50ccaa,2,,PM2.5,ug/m3,1,6,15
MK,,Fair,#50ccaa,2,,PM10,ug/m3,1,16,45
MK,,Fair,#50ccaa,2,,O3,ug/m3,1,61,100
MK,,Fair,#50ccaa,2,,NO2,ug/m3,1,11,25
MK,,Fair,#50ccaa,2,,SO2,ug/m3,1,21,40
MK,,Moderate,#f0e641,3,,PM2.5,ug/m3,1,16,50
MK,,Moderate,#f0e641,3,,PM10,ug/m3,1,46,120
MK,,Moderate,#f0e641,3,,O3,ug/m3,1,101,120
MK,,Moderate,#f0e641,3,,NO2,ug/m3,1,26,60
MK,,Moderate,#f0e641,3,,SO2,ug/m3,1,41,125
MK,,Poor,#ff5050,4,,PM2.5,ug/m3,1,51,90
MK,,Poor,#ff5050,4,,PM10,ug/m3,1,121,195
MK,,Poor,#ff5050,4,,O3,ug/m3,1,121,160
MK,,Poor,#ff5050,4,,NO2,ug/m3,1,61,100
MK,,Poor,#ff5050,4,,SO2,ug/m3,1,126,190
MK,,Very Poor,#960032,5,,PM2.5,ug/m3,1,91,140
MK,,Very Poor,#960032,5,,PM10,ug/m3,1,196,270
MK,,Very Poor,#960032,5,,O3,ug/m3,1,161,180
MK,,Very Poor,#960032,5,,NO2,ug/m3,1,101,150
MK,,Very Poor,#960032,5,,SO2,ug/m3,1,191,275
MK,,Extremely Poor,#7d2181,6,,PM2.5,ug/m3,1,140,
MK,,Extremely Poor,#7d2181,6,,PM10,ug/m3,1,270,
MK,,Extremely Poor,#7d2181,6,,O3,ug/m3,1,180,
MK,,Extremely Poor,#7d2181,6,,NO2,ug/m3,1,150,
MK,,Extremely Poor,#7d2181,6,,SO2,ug/m3,1,275,